MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://diablotools.com/products/DCB518ASTS06G,,,,,,SL-579432EC1F16,,,,DCB518ASTS06G,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",,,,Freud Inc (2435),Freud Inc (2435),Freud Inc (2435),,DCB518ASTS06G,,,"Diablo DCB518ASTS06G Sanding Belt, 1/2 in W, 18 in L","Diablo DCB518ASTS06G Sanding Belt, 1/2 in W, 18 in L, 50, 80, 120 Grit","DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc","Freud/Diablo DCB518ASTS06G Assorted Pack includes: (2) 50-Grit/Coarse grit sanding belts for surface leveling and heavy stock/paint removal, (2) 80-Grit/Medium grit sanding belts for moderate stock removal, and (2) 120-Grit/Fine grit sanding belts for final sanding Premium aluminum oxide blend for fast material removal and extra-long sanding life","Featuring a premium aluminum oxide blend, these belts remove material faster than other sanding belts and offer an extra-long sanding life.","Designed for moderate and heavy-duty sanding tasks in all your construction projects, delivering professional-grade results every time.",Built with a premium aluminum oxide blend that removes material faster and offers an extra-long sanding life.,Product type: Sanding Belt,Designed for moderate and heavy-duty sanding tasks in construction projects.,Diablo product line,,,,,,,,,"Includes specific belt grit ratings of 50-Grit (Coarse), 80-Grit (Medium), and 120-Grit (Fine).",Delivers professional-grade results for detail file sanding applications.,Equipped with a stearate coating to enhance sanding efficiency.,,,,,,,,,moderate and heavy-duty sanding tasks in all your construction projects,"(2) 50-Grit/Coarse grit sanding belts for surface leveling and heavy stock/paint removal, (2) 80-Grit/Medium grit sanding belts for moderate stock removal, and (2) 120-Grit/Fine grit sanding belts for final sanding","DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",Width,1/2,in,Length,18,in,Grit,"50, 80, 120",,Grit Grade,"Coarse, Fine, Medium",,Abrasive Material,Zirconium,,Package Quantity,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,1/2,,,,,,https://www.bitsdrill.com/wp-content/uploads/2026/3/1773692883/diablo-dcb518asts06g-1-2-in-x-18-in-detail-file-sanding-belt-assorted-pack-6-pack-1773692888.webp,,,,,,,,,https://www.analog.com/media/en/technical-documentation/data-sheets/24351fc.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,SL-8F7CD373AB64,,,,3MABR-7100075678,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),,3MABR-7100075678,,,"Jam Industrial Supply LLC (JAMIN) Jam Industrial Supply LLC (JAMIN), 3M 775L Sti",JAM INDUSTRIAL SUPPLY LLC (JAMIN) 3M 775,"3M 775L Stikit Film P150 Cubitron II abrasive discs, supplied as 50 discs per box.","3M 775L Stikit Film P150 Cubitron II abrasive discs, supplied as 50 discs per box.","3M 775L Stikit Film P150 Cubitron II abrasive discs, supplied as 50 discs per box.","3M 775L Stikit Film P150 Cubitron II abrasive discs, supplied as 50 discs per box.",,,,,,,,,,,,,,,,,,,,,,,,,,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.testequity.com/te1/product-images/medium/3m-31180_7100075678_dv_webxl.jpg,,,,,,,,,https://cobic-ex.com/wp-content/uploads/2024/02/Sammode-Jamin-Datasheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,SL-E4885D00F81A,,,,3MABR-7100045865,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),,3MABR-7100045865,,,"Jam Industrial Supply LLC (JAMIN) Jam Industrial Supply LLC (JAMIN), 3M 775L Sti",JAM INDUSTRIAL SUPPLY LLC (JAMIN) 3M 775,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box.,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box.,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box.,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box.,3M 775L Stikit film backing,P120 grit specification,Utilizes Cubitron II abrasive technology,Packaged with 50 discs per box,Manufacturer part number 3MABR-7100045865,,,,,,Part manufacturer designated as Jam Industrial Supply LLC (JAMIN),,775L series product designation,,,,,,,,,,,,,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,Grit Grade,P120,,Abrasive Material,Cubitron II,,Package Quantity,50,Disc/Box,Series,775L,,Attachment Type,Stikit,,Backing Material,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-mzpq4daxph/images/stencil/1280x1280/products/373224/723198/7100045865__59567.1690890554.jpg?c=2,,,,,,,,,https://www.solarelectricsupply.com/media/sparsh/product_attachment/JAM54S31_380-405_Data_Sheet_compressed.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,SL-6A17EA5DE363,,,,3MABR-7100048736,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),,3MABR-7100048736,,,"Jam Industrial Supply LLC (JAMIN) Jam Industrial Supply LLC (JAMIN), 3M 775L Sti",3M 775L Stikit Film P80 Cubitron II 50/Box,"3M 775L Stikit Film P80 Cubitron II abrasive discs, supplied 50 discs per box.","3M 775L Stikit Film P80 Cubitron II abrasive discs, supplied 50 discs per box.","3M 775L Stikit Film P80 Cubitron II abrasive discs, supplied 50 discs per box.","3M 775L Stikit Film P80 Cubitron II abrasive discs, supplied 50 discs per box.",,Features Cubitron II abrasive grain technology,Stikit film backing,50 discs per box,3M 775L series disc,,,,,,,Manufacturer Part Number: 3MABR-7100048736,,,,,,,,,,,,,,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,Package Quantity,50,Disc/Box,Backing Material,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.jamindustrialsupply.com/wp-content/uploads/2019/11/jp-majors-jam-industrial-supply.jpg,,,,,,,,,https://assets.testequity.com/te1/Documents/pdf/3m/3M_7100048736_Safety-Data-Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,SL-137952A28C96,,,,3MABR-7100075690,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),,3MABR-7100075690,,,"Jam Industrial Supply LLC (JAMIN) Jam Industrial Supply LLC (JAMIN), 3M 775L Sti",JAM INDUSTRIAL SUPPLY LLC (JAMIN) 3M 775,3M 775L Stikit Film P180 - Cubitron II (50 Disc/Box).,3M 775L Stikit Film P180 - Cubitron II (50 Disc/Box).,3M 775L Stikit Film P180 - Cubitron II (50 Disc/Box).,3M 775L Stikit Film P180 - Cubitron II (50 Disc/Box).,3M 775L series film abrasive disc,Stikit film backing system,P180 grit rating,Cubitron II abrasive technology,Package quantity of 50 discs per box,,,,,,Manufacturer part number 3MABR-7100075690,Manufactured/supplied by Jam Industrial Supply LLC,,,,,,,,,,,,,,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,Series,775L,,Attachment Type,Stikit,,Backing Material,Film,,Grit,P180,,Product Line,Cubitron II,,Package Quantity,50,Disc/Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://lightingsupply.com/cdn/shop/files/3m-cubitron-ii-stikit-film-disc-775l-5-in-x-nh_dc33dfa9-9db6-4a15-a893-02506379c7e3_1200x879.jpg?v=1693364893,,,,,,,,,https://susacdn.azureedge.net/specsheets/3M/7000145569.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,SL-973BD7B29454,,,,DCB520ASTS08G,DCB520ASTS08G,"DCB520ASTS08G Diablo 1/2""x24"" - Sanding Belt 8pc P80 Grit",,,,Freud Inc (2435),Freud Inc (2435),Freud Inc (2435),,DCB520ASTS08G,,,"Freud Inc (2435) Freud Inc (2435), DCB520ASTS08G Diablo 1/2""x24"" - Sanding Belt",FREUD INC (2435) DCB520ASTS08G DIABLO 1/,"DCB520ASTS08G Diablo 1/2""x24"" - Sanding Belt 8pc P80 Grit","DCB520ASTS08G Diablo 1/2""x24"" - Sanding Belt 8pc P80 Grit","DCB520ASTS08G Diablo 1/2""x24"" - Sanding Belt 8pc P80 Grit","DCB520ASTS08G Diablo 1/2""x24"" - Sanding Belt 8pc P80 Grit",,,,,,,,,,,,,,,,,,,,,,,,,,"DCB520ASTS08G Diablo 1/2""x24"" - Sanding Belt 8pc P80 Grit",Grit,P80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://images.familyhardware.com/products/LU5C1270.png,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,SL-37681E4F490F,,,,3MABR-7100075692,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),,3MABR-7100075692,,,"Jam Industrial Supply LLC (JAMIN) Jam Industrial Supply LLC (JAMIN), 3M 775L Sti",JAM INDUSTRIAL SUPPLY LLC (JAMIN) 3M 775,"3M 775L Stikit Film P220 Cubitron II, packaged 50 discs per box.","3M 775L Stikit Film P220 Cubitron II, packaged 50 discs per box.","3M 775L Stikit Film P220 Cubitron II, packaged 50 discs per box.","3M 775L Stikit Film P220 Cubitron II, packaged 50 discs per box.",Features 3M Cubitron II abrasive technology,P220 grit rating,50 discs per box package quantity,Stikit film backing design,3M 775L series disc model,,,,,,,,,,,,,,,,,,,,,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,Grit Grade,P220,,Backing Material,Film,,Package Quantity,50,Disc/Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.testequity.com/te1/product-images/medium/3m-31180_7100075692_dv_webxl.jpg,,,,,,,,,https://cobic-ex.com/wp-content/uploads/2024/02/Sammode-Jamin-Datasheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,SL-113997426EB6,,,,3MABR-7100075700,3MABR-7100075700,3M 775L Stikit Film P240 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),,3MABR-7100075700,,,"Jam Industrial Supply LLC (JAMIN) Jam Industrial Supply LLC (JAMIN), 3M 775L Sti",JAM INDUSTRIAL SUPPLY LLC (JAMIN) 3M 775,3M 775L Stikit Film P240 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P240 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P240 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P240 - Cubitron II 50 Disc/Box,,,,,,,,,,,,,,,,,,,,,,,,,,3M 775L Stikit Film P240 - Cubitron II 50 Disc/Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.jamindustrialsupply.com/wp-content/uploads/2025/05/3m_finesse_it_robotic_paint_repair_system_61-768x530.jpg,,,,,,,,,https://cobic-ex.com/wp-content/uploads/2024/02/Sammode-Jamin-Datasheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,SL-E0E7D2560F41,,,,GF87397,GF87397,WIRE NUT RED 22-8AWG,nan,Permatex Corp,,,nan,nan,,GF87397,,,"nan nan Professional WIRE NUT RED 22-8AWG, Model GF87397",NAN WIRE NUT RED 22-8AWG GF87397,Permatex Corp red wire nut connector designed for 22-8 AWG wire range.,Permatex Corp red wire nut connector designed for 22-8 AWG wire range.,Permatex Corp red wire nut connector designed for 22-8 AWG wire range.,Permatex Corp red wire nut connector designed for 22-8 AWG wire range.,,Accommodates 22-8 AWG wire sizes,Wire nut connector design,Manufactured by Permatex Corp,,,,,,,,,,,,,,,,,,,,,,WIRE NUT RED 22-8AWG,Wire Size Range,22-8,AWG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.industrial-supply-center.com/wp-content/uploads/2024/09/21/NEW-KEYENCE-OP-87397-CABLE-0P87397-191557010705.jpg,,,,,,,,,http://pragatiplastics.com/docs/Virgin%20PTFE.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,SL-36359A0C18A7,,,,3MABR-7100145365,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),,3MABR-7100145365,,,"Jam Industrial Supply LLC (JAMIN) Jam Industrial Supply LLC (JAMIN), 3M 775L Sti",JAM INDUSTRIAL SUPPLY LLC (JAMIN) 3M 775,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,Cubitron II abrasive technology,P320 grit grade,Stikit film backing,775L series disc,Packaged 50 discs per box,,,,,,,Manufacturer part number 3MABR-7100145365,Manufactured by Jam Industrial Supply LLC,,,,,,,,,,,,,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,Grit Grade,P320,,Package Quantity,50,Disc/Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://multimedia.3m.com/mws/media/1050295J/3m-stikit-paper-disc-735u-with-tab-6-in-x-nh-p80-c-weight.jpg?width=1200,,,,,,,,,https://assets.testequity.com/te1/Documents/pdf/3m/3M_7100145365_Safety-Data-Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
